val;sav
0.879277566539924;original
0.876425855513308;original
0.8697718631178707;original
0.8811787072243346;original
0.879277566539924;original
0.8802281368821293;original
0.8783269961977186;original
0.8830798479087453;original
0.8859315589353612;original
0.8811787072243346;original
0.902946273830156;b_3_1
0.8986135181975736;b_3_1
0.9003466204506065;b_3_1
0.9020797227036396;b_3_1
0.8994800693240901;b_3_1
0.8977469670710572;b_3_1
0.902946273830156;b_3_1
0.9055459272097054;b_3_1
0.9038128249566725;b_3_1
0.901213171577123;b_3_1
0.8801996672212978;b_5_1
0.8710482529118136;b_5_1
0.8743760399334443;b_5_1
0.8743760399334443;b_5_1
0.8752079866888519;b_5_1
0.8760399334442596;b_5_1
0.8777038269550749;b_5_1
0.8793677204658902;b_5_1
0.8818635607321131;b_5_1
0.8835274542429284;b_5_1
0.8863826232247285;b_5_2
0.8922305764411027;b_5_2
0.8888888888888888;b_5_2
0.8813700918964077;b_5_2
0.8913951545530493;b_5_2
0.8930659983291562;b_5_2
0.8922305764411027;b_5_2
0.8939014202172096;b_5_2
0.8955722639933166;b_5_2
0.8880534670008354;b_5_2
0.8787375415282392;b_5_3
0.8837209302325582;b_5_3
0.8787375415282392;b_5_3
0.8862126245847176;b_5_3
0.8820598006644518;b_5_3
0.8862126245847176;b_5_3
0.8903654485049833;b_5_3
0.8853820598006644;b_5_3
0.8845514950166113;b_5_3
0.8845514950166113;b_5_3
0.8374899436846339;b_7_1
0.8399034593724859;b_7_1
0.8423169750603379;b_7_1
0.8447304907481898;b_7_1
0.8455349959774738;b_7_1
0.8382944489139179;b_7_1
0.8358809332260659;b_7_1
0.8366854384553499;b_7_1
0.8439259855189059;b_7_1
0.8487530168946098;b_7_1
0.8899598393574297;b_7_2
0.8955823293172691;b_7_2
0.8931726907630522;b_7_2
0.8931726907630522;b_7_2
0.8931726907630522;b_7_2
0.8939759036144578;b_7_2
0.8907630522088353;b_7_2
0.8971887550200803;b_7_2
0.8923694779116466;b_7_2
0.8923694779116466;b_7_2
0.8919354838709678;b_7_3
0.8903225806451613;b_7_3
0.8903225806451613;b_7_3
0.8927419354838709;b_7_3
0.8983870967741936;b_7_3
0.8895161290322581;b_7_3
0.8951612903225806;b_7_3
0.8895161290322581;b_7_3
0.8919354838709678;b_7_3
0.8838709677419355;b_7_3
0.8917609046849758;b_7_4
0.8836833602584814;b_7_4
0.8925686591276252;b_7_4
0.8820678513731826;b_7_4
0.8885298869143781;b_7_4
0.8861066235864298;b_7_4
0.8909531502423264;b_7_4
0.8925686591276252;b_7_4
0.8909531502423264;b_7_4
0.8893376413570274;b_7_4
0.8841512469831054;b_7_5
0.8873692679002414;b_7_5
0.8841512469831054;b_7_5
0.8865647626709574;b_7_5
0.8897827835880934;b_7_5
0.8897827835880934;b_7_5
0.8873692679002414;b_7_5
0.8905872888173774;b_7_5
0.8905872888173774;b_7_5
0.8921962992759453;b_7_5
0.8355731225296442;b_9_1
0.8355731225296442;b_9_1
0.83399209486166;b_9_1
0.833201581027668;b_9_1
0.8355731225296442;b_9_1
0.83399209486166;b_9_1
0.83399209486166;b_9_1
0.8347826086956521;b_9_1
0.8379446640316206;b_9_1
0.8284584980237154;b_9_1
0.8888024883359253;b_9_2
0.890357698289269;b_9_2
0.8919129082426127;b_9_2
0.8942457231726283;b_9_2
0.8880248833592534;b_9_2
0.8919129082426127;b_9_2
0.885692068429238;b_9_2
0.8973561430793157;b_9_2
0.8880248833592534;b_9_2
0.8888024883359253;b_9_2
0.8939512961508248;b_9_3
0.8923802042419482;b_9_3
0.8884524744697565;b_9_3
0.8845247446975648;b_9_3
0.8900235663786331;b_9_3
