val;sav
0.8533007334963325;original
0.8655256723716381;original
0.8581907090464548;original
0.843520782396088;original
0.8459657701711492;original
0.863080684596577;original
0.8508557457212714;original
0.8533007334963325;original
0.8508557457212714;original
0.8508557457212714;original
0.9070904645476773;b_3_1
0.9070904645476773;b_3_1
0.8924205378973105;b_3_1
0.9168704156479217;b_3_1
0.8875305623471883;b_3_1
0.8997555012224939;b_3_1
0.902200488997555;b_3_1
0.8997555012224939;b_3_1
0.8850855745721271;b_3_1
0.8973105134474327;b_3_1
0.9462102689486552;b_5_1
0.9633251833740831;b_5_1
0.9486552567237164;b_5_1
0.9682151589242054;b_5_1
0.9437652811735942;b_5_1
0.9657701711491442;b_5_1
0.9633251833740831;b_5_1
0.960880195599022;b_5_1
0.9559902200488998;b_5_1
0.9633251833740831;b_5_1
0.902200488997555;b_5_2
0.8997555012224939;b_5_2
0.882640586797066;b_5_2
0.8973105134474327;b_5_2
0.9046454767726161;b_5_2
0.8924205378973105;b_5_2
0.882640586797066;b_5_2
0.8997555012224939;b_5_2
0.8924205378973105;b_5_2
0.8997555012224939;b_5_2
0.902200488997555;b_5_3
0.8997555012224939;b_5_3
0.882640586797066;b_5_3
0.8973105134474327;b_5_3
0.9046454767726161;b_5_3
0.8924205378973105;b_5_3
0.882640586797066;b_5_3
0.8997555012224939;b_5_3
0.8924205378973105;b_5_3
0.8997555012224939;b_5_3
0.9388753056234719;b_7_1
0.9388753056234719;b_7_1
0.9339853300733496;b_7_1
0.9364303178484108;b_7_1
0.9388753056234719;b_7_1
0.9364303178484108;b_7_1
0.9388753056234719;b_7_1
0.9364303178484108;b_7_1
0.9339853300733496;b_7_1
0.941320293398533;b_7_1
0.9315403422982885;b_7_2
0.9339853300733496;b_7_2
0.9388753056234719;b_7_2
0.941320293398533;b_7_2
0.9511002444987775;b_7_2
0.9290953545232273;b_7_2
0.921760391198044;b_7_2
0.941320293398533;b_7_2
0.9364303178484108;b_7_2
0.921760391198044;b_7_2
0.9315403422982885;b_7_3
0.9339853300733496;b_7_3
0.9388753056234719;b_7_3
0.941320293398533;b_7_3
0.9511002444987775;b_7_3
0.9290953545232273;b_7_3
0.921760391198044;b_7_3
0.941320293398533;b_7_3
0.9364303178484108;b_7_3
0.921760391198044;b_7_3
0.8924205378973105;b_7_4
0.8924205378973105;b_7_4
0.8924205378973105;b_7_4
