val;sav
0.8445108927808629;original
0.8406663818880821;original
0.8496369073045706;original
0.8385305425032038;original
0.8457923964117898;original
0.8389577103801794;original
0.8453652285348142;original
0.8359675352413498;original
0.8402392140111064;original
0.8466467321657412;original
0.8386023294509152;b_3_1
0.8465058236272879;b_3_1
0.8386023294509152;b_3_1
0.8402662229617305;b_3_1
0.8402662229617305;b_3_1
0.8352745424292846;b_3_1
0.8469217970049917;b_3_1
0.8369384359400999;b_3_1
0.8440099833610649;b_3_1
0.8361064891846922;b_3_1
0.891846921797005;b_5_1
0.8768718801996672;b_5_1
0.901414309484193;b_5_1
0.879783693843594;b_5_1
0.8814475873544093;b_5_1
0.8814475873544093;b_5_1
0.8826955074875208;b_5_1
0.8872712146422629;b_5_1
0.8939267886855241;b_5_1
0.8876871880199667;b_5_1
0.8689683860232945;b_5_2
0.867720465890183;b_5_2
0.870216306156406;b_5_2
0.8656405990016639;b_5_2
0.8643926788685524;b_5_2
0.8681364392678869;b_5_2
0.8627287853577371;b_5_2
0.8652246256239601;b_5_2
0.8656405990016639;b_5_2
0.8698003327787022;b_5_2
0.8689683860232945;b_5_3
0.867720465890183;b_5_3
0.870216306156406;b_5_3
0.8656405990016639;b_5_3
0.8643926788685524;b_5_3
0.8681364392678869;b_5_3
0.8627287853577371;b_5_3
0.8652246256239601;b_5_3
0.8656405990016639;b_5_3
0.8698003327787022;b_5_3
0.8211314475873545;b_7_1
0.8273710482529119;b_7_1
0.8240432612312812;b_7_1
0.8252911813643927;b_7_1
0.8178036605657238;b_7_1
0.8232113144758736;b_7_1
0.8282029950083195;b_7_1
0.8153078202995009;b_7_1
0.8232113144758736;b_7_1
0.8290349417637272;b_7_1
0.8652246256239601;b_7_2
0.8668885191347754;b_7_2
0.8639767054908486;b_7_2
0.8639767054908486;b_7_2
0.870216306156406;b_7_2
0.8643926788685524;b_7_2
0.867720465890183;b_7_2
0.8664725457570716;b_7_2
0.8685524126455907;b_7_2
0.8598169717138103;b_7_2
0.8652246256239601;b_7_3
0.8668885191347754;b_7_3
0.8639767054908486;b_7_3
0.8639767054908486;b_7_3
0.870216306156406;b_7_3
0.8643926788685524;b_7_3
0.867720465890183;b_7_3
0.8664725457570716;b_7_3
0.8685524126455907;b_7_3
0.8598169717138103;b_7_3
0.870216306156406;b_7_4
0.8660565723793677;b_7_4
0.8698003327787022;b_7_4
0.8635607321131448;b_7_4
0.8731281198003328;b_7_4
0.8673044925124792;b_7_4
0.8652246256239601;b_7_4
0.8648086522462562;b_7_4
0.8652246256239601;b_7_4
0.8643926788685524;b_7_4
0.870216306156406;b_7_5
